2026-04-14 10:55:12 | ERROR    | app.services.ingestion:_load_file:108 — Exception when loading data\raw\gioi_thieu_ai.txt: Error loading data\raw\gioi_thieu_ai.txt
2026-04-14 10:55:12 | ERROR    | app.services.ingestion:ingest_directory:85 —   ✗ gioi_thieu_ai.txt failed: Error loading data\raw\gioi_thieu_ai.txt
2026-04-14 10:55:12 | INFO     | app.services.ingestion:ingest_directory:80 — Ingesting file: data\raw\machine_learning.txt
2026-04-14 10:55:12 | ERROR    | app.services.ingestion:_load_file:108 — Exception when loading data\raw\machine_learning.txt: Error loading data\raw\machine_learning.txt
2026-04-14 10:55:12 | ERROR    | app.services.ingestion:ingest_directory:85 —   ✗ machine_learning.txt failed: Error loading data\raw\machine_learning.txt
2026-04-14 10:55:12 | INFO     | app.services.ingestion:ingest_directory:80 — Ingesting file: data\raw\python_cho_ai.txt
2026-04-14 10:55:12 | ERROR    | app.services.ingestion:_load_file:108 — Exception when loading data\raw\python_cho_ai.txt: Error loading data\raw\python_cho_ai.txt
2026-04-14 10:55:12 | ERROR    | app.services.ingestion:ingest_directory:85 —   ✗ python_cho_ai.txt failed: Error loading data\raw\python_cho_ai.txt
2026-04-14 10:55:12 | INFO     | app.services.ingestion:ingest_directory:80 — Ingesting file: data\raw\rag_va_llm.txt
2026-04-14 10:55:12 | ERROR    | app.services.ingestion:_load_file:108 — Exception when loading data\raw\rag_va_llm.txt: Error loading data\raw\rag_va_llm.txt
2026-04-14 10:55:12 | ERROR    | app.services.ingestion:ingest_directory:85 —   ✗ rag_va_llm.txt failed: Error loading data\raw\rag_va_llm.txt
2026-04-14 10:55:12 | INFO     | app.services.ingestion:ingest_directory:80 — Ingesting file: data\raw\test_ingest.txt
2026-04-14 10:55:12 | ERROR    | app.services.ingestion:_load_file:108 — Exception when loading data\raw\test_ingest.txt: Error loading data\raw\test_ingest.txt
2026-04-14 10:55:12 | ERROR    | app.services.ingestion:ingest_directory:85 —   ✗ test_ingest.txt failed: Error loading data\raw\test_ingest.txt
2026-04-14 10:55:12 | INFO     | app.services.ingestion:ingest_directory:87 — Total chunks added from directory: 0
2026-04-14 10:56:08 | INFO     | app.main:lifespan:28 — Shutting down …
